INFO 2025-12-28 23:45:03,700 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965503 HTTP/1.1" 200 37857
INFO 2025-12-28 23:45:15,122 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 1446
INFO 2025-12-28 23:45:15,150 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965515 HTTP/1.1" 200 39031
INFO 2025-12-28 23:45:22,308 basehttp 208872 138373060400704 "GET /auth/logout/ HTTP/1.1" 302 0
INFO 2025-12-28 23:45:22,315 basehttp 208872 138373060400704 "GET / HTTP/1.1" 200 4964
INFO 2025-12-28 23:45:22,392 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965522 HTTP/1.1" 200 39031
INFO 2025-12-28 23:45:24,371 basehttp 208872 138373078234688 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:45:24,487 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965524 HTTP/1.1" 200 39031
INFO 2025-12-28 23:46:09,869 basehttp 208872 138373060400704 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:46:09,912 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965569 HTTP/1.1" 200 39031
INFO 2025-12-28 23:46:11,931 basehttp 208872 138373078234688 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:46:11,964 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965571 HTTP/1.1" 200 39031
INFO 2025-12-28 23:46:12,967 basehttp 208872 138373060400704 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:46:12,999 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965572 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:17,153 basehttp 208872 138373078234688 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-12-28 23:46:17,190 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 2742
INFO 2025-12-28 23:46:17,260 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965577 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:23,131 basehttp 208872 138373060400704 "GET /auth/logout/ HTTP/1.1" 302 0
INFO 2025-12-28 23:46:23,145 basehttp 208872 138373060400704 "GET / HTTP/1.1" 200 4964
INFO 2025-12-28 23:46:23,238 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965583 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:25,212 basehttp 208872 138373078234688 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:46:25,242 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965585 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:27,976 basehttp 208872 138373060400704 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-12-28 23:46:28,012 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 2742
